はない,842910283746,0
ますぶち,9876543210123,0
エデル,482910283746,0
はない,192837465091,0
ますぶち,238910283746,0
エデル,9876543210987,0
はない,129384756012,0
ますぶち,839201847560,0
エデル,374829102837,0
はない,102938475601,0
ますぶち,918273645091,0
エデル,827364509182,0
はない,192837465092,0
ますぶち,293847561092,0
エデル,109283746501,0
はない,918273645092,0
ますぶち,827364509193,0
エデル,192837465093,0
はない,374829102838,0
ますぶち,102938475602,0
エデル,918273645094,0
はない,827364509194,0
ますぶち,192837465094,0
エデル,374829102839,0
はない,102938475603,0
ますぶち,918273645095,0
エデル,827364509195,0
はない,192837465095,0
ますぶち,374829102840,0
エデル,102938475604,0
